ID,Score
01000168,Toán:   8.60   Ngữ văn:   9.25   Lịch sử:   8.25   Địa lí:   7.25   GDCD:   9.25   KHXH: 8.25   Tiếng Anh:   9.60   
01000169,Toán:   7.80   Ngữ văn:   8.00   Lịch sử:   4.00   Địa lí:   5.00   GDCD:   6.75   KHXH: 5.25   Tiếng Anh:   6.80   
01000170,Toán:   7.40   Ngữ văn:   9.00   Lịch sử:   8.00   Địa lí:   6.50   GDCD:   9.75   KHXH: 8.08   Tiếng Anh:   6.40   
01000171,Toán:   6.20   Ngữ văn:   8.50   Lịch sử:   6.50   Địa lí:   4.75   GDCD:   8.75   KHXH: 6.67   Tiếng Anh:   5.40   
01000172,Toán:   8.60   Ngữ văn:   9.00   Lịch sử:   7.00   Địa lí:   6.25   GDCD:   8.00   KHXH: 7.08   Tiếng Anh:   9.40   
01000173,Toán:   8.40   Ngữ văn:   6.25   Vật lí:   7.00   Hóa học:   8.25   Sinh học:   6.00   KHTN: 7.08   Tiếng Anh:   5.00   
01000174,Toán:   7.20   Ngữ văn:   7.00   Lịch sử:   6.50   Địa lí:   6.75   GDCD:   8.75   KHXH: 7.33   Tiếng Anh:   6.00   
01000175,Toán:   8.20   Ngữ văn:   8.25   Lịch sử:   7.50   Địa lí:   6.50   GDCD:   9.25   KHXH: 7.75   Tiếng Anh:   9.00   
01000176,Toán:   6.40   Ngữ văn:   7.75   Lịch sử:   4.75   Địa lí:   5.75   GDCD:   8.00   KHXH: 6.17   Tiếng Anh:   6.00   
01000177,Toán:   8.80   Ngữ văn:   8.75   Lịch sử:   6.00   Địa lí:   4.50   GDCD:   9.25   KHXH: 6.58   Tiếng Anh:   8.40   
